language_id,form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,source,page,paradigm_tag,tense_tag,morphanalysis_tag,overabundance_tag,phonanalysis_tag,variants_tag,order_tag
hyow,hyow285,hak,1.sg.3.du.fut.neg,ká-hák-hnɔ́ʔ-ngâ,káΣhnɔ́ʔngâ,k a ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,ká+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow286,hnek,1.sg.3.du.fut.neg,ké-hnék-hnɔ́ʔ-ngâ,kéΣhnɔ́ʔngâ,k e ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,ké+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow287,kɘt,1.sg.3.du.fut.neg,kɘ́-kɘ́t-hnɔ́ʔ-ngâ,kɘ́Σhnɔ́ʔngâ,k ɘ ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,kɘ́+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow288,lum,1.sg.3.du.fut.neg,kʉ́-lʉ̂m-hnɔ́ʔ-ngâ,kʉ́Σhnɔ́ʔngâ,k ʉ ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,kʉ́+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow289,lɔ,1.sg.3.du.fut.neg,kɔ́-lɔ̀-hnɔ́ʔ-ngâ,kɔ́Σhnɔ́ʔngâ,k ɔ ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,kɔ́+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow290,shun,1.sg.3.du.fut.neg,kú-shûn-hnɔ́ʔ-ngâ,kúΣhnɔ́ʔngâ,k u ⁵ Σ n̥ ɔ ⁵ ʔ ŋ a ⁵¹,kú+Σ+hnɔ́ʔ+ngâ,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow291,bop,1.du.incl.3.sg.fut.neg,ì-ní-bóp-hnɔ́ʔ-pû,ìníΣhnɔ́ʔpû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ p u ⁵¹,ì+ní+Σ+hnɔ́ʔ+pû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow292,bop,1.du.excl.3.sg.fut.neg,kí-hníʔ-bóp-hnɔ́ʔ-hníʔ-ngâ,kíhníʔΣhnɔ́ʔhníʔngâ,k i ⁵ n̥ i ⁵ ʔ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ ŋ a ⁵¹,kí+hníʔ+Σ+hnɔ́ʔ+hníʔ+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow293,bop,1.du.incl.3.du.fut.neg,ì-ní-bóp-hnɔ́ʔ-pû,ìníΣhnɔ́ʔpû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ p u ⁵¹,ì+ní+Σ+hnɔ́ʔ+pû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow294,bop,1.du.excl.3.du.fut.neg,kí-hníʔ-bóp-hnɔ́ʔ-hníʔ-ngâ,kíhníʔΣhnɔ́ʔhníʔngâ,k i ⁵ n̥ i ⁵ ʔ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ ŋ a ⁵¹,kí+hníʔ+Σ+hnɔ́ʔ+hníʔ+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow295,bop,1.du.incl.3.pl.fut.neg,ì-ní-bóp-hnɔ́ʔ-pû,ìníΣhnɔ́ʔpû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ p u ⁵¹,ì+ní+Σ+hnɔ́ʔ+pû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow296,bop,1.du.excl.3.pl.fut.neg,kí-hníʔ-bóp-hnɔ́ʔ-hníʔ-ngâ,kíhníʔΣhnɔ́ʔhníʔngâ,k i ⁵ n̥ i ⁵ ʔ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ ŋ a ⁵¹,kí+hníʔ+Σ+hnɔ́ʔ+hníʔ+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow297,bop,1.pl.incl.3.sg.fut.neg,ì-ní-bóp-hnɔ́ʔ-kɔ̂,ìníΣhnɔ́ʔkɔ̂,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ k ɔ ⁵¹,ì+ní+Σ+hnɔ́ʔ+kɔ̂,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow298,bop,1.pl.excl.3.sg.fut.neg,kí-ní-bóp-hnɔ́ʔ-ú-ngâ,kíníΣhnɔ́ʔúngâ,k i ⁵ n i ⁵ Σ n̥ ɔ ⁵ ʔ u ⁵ ŋ a ⁵¹,kí+ní+Σ+hnɔ́ʔ+ú+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow299,bop,1.pl.incl.3.du.fut.neg,ì-ní-bóp-hnɔ́ʔ-kɔ̂,ìníΣhnɔ́ʔkɔ̂,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ k ɔ ⁵¹,ì+ní+Σ+hnɔ́ʔ+kɔ̂,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow300,bop,1.pl.excl.3.du.fut.neg,kí-ní-bóp-hnɔ́ʔ-ú-ngâ,kíníΣhnɔ́ʔúngâ,k i ⁵ n i ⁵ Σ n̥ ɔ ⁵ ʔ u ⁵ ŋ a ⁵¹,kí+ní+Σ+hnɔ́ʔ+ú+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow301,bop,1.pl.incl.3.pl.fut.neg,ì-ní-bóp-hnɔ́ʔ-kɔ̂,ìníΣhnɔ́ʔkɔ̂,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ k ɔ ⁵¹,ì+ní+Σ+hnɔ́ʔ+kɔ̂,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow302,bop,1.pl.excl.3.pl.fut.neg,kí-ní-bóp-hnɔ́ʔ-ú-ngâ,kíníΣhnɔ́ʔúngâ,k i ⁵ n i ⁵ Σ n̥ ɔ ⁵ ʔ u ⁵ ŋ a ⁵¹,kí+ní+Σ+hnɔ́ʔ+ú+ngâ,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow303,kap,2.sg.fut.neg,káp-hnɔ́ʔ-tî,Σhnɔ́ʔtî,Σ n̥ ɔ ⁵ ʔ t i ⁵¹,Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow304,kap,2.du.fut.neg,káp-hnɔ́ʔ-hníʔ-tî,Σhnɔ́ʔhníʔtî,Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
