cell_id,POS,label
1.du.incl,pronoun,1DU.INCL
1.pl.excl,pronoun,1PL.EXCL
1.pl.incl,pronoun,1PL.INCL
1.sg,pronoun,1SG
2.pl,pronoun,2PL
2.sg,pronoun,2SG
3.pl,pronoun,3PL
3.sg,pronoun,3SG
1.du.incl.3.pl.fut.aff,verb,1DU.INCL>3PL.FUT.AFF
1.du.incl.3.pl.fut.neg,verb,1DU.INCL>3PL.FUT.NEG
1.du.incl.3.pl.nfut.aff,verb,1DU.INCL>3PL.NFUT.AFF
1.du.incl.3.pl.nfut.neg,verb,1DU.INCL>3PL.NFUT.NEG
1.du.incl.3.sg.fut.aff,verb,1DU.INCL>3SG.FUT.AFF
1.du.incl.3.sg.fut.neg,verb,1DU.INCL>3SG.FUT.NEG
1.du.incl.3.sg.nfut.aff,verb,1DU.INCL>3SG.NFUT.AFF
1.du.incl.3.sg.nfut.neg,verb,1DU.INCL>3SG.NFUT.NEG
1.du.incl.fut.aff,verb,1DU.INCL.FUT.AFF
1.du.incl.fut.neg,verb,1DU.INCL.FUT.NEG
1.du.incl.nfut.aff,verb,1DU.INCL.NFUT.AFF
1.du.incl.nfut.neg,verb,1DU.INCL.NFUT.NEG
1.pl.excl.2.pl.fut.aff,verb,1PL.EXCL>2PL.FUT.AFF
1.pl.excl.2.pl.fut.neg,verb,1PL.EXCL>2PL.FUT.NEG
1.pl.excl.2.pl.nfut.aff,verb,1PL.EXCL>2PL.NFUT.AFF
1.pl.excl.2.pl.nfut.neg,verb,1PL.EXCL>2PL.NFUT.NEG
1.pl.excl.2.sg.fut.aff,verb,1PL.EXCL>2SG.FUT.AFF
1.pl.excl.2.sg.fut.neg,verb,1PL.EXCL>2SG.FUT.NEG
1.pl.excl.2.sg.nfut.aff,verb,1PL.EXCL>2SG.NFUT.AFF
1.pl.excl.2.sg.nfut.neg,verb,1PL.EXCL>2SG.NFUT.NEG
1.pl.excl.3.pl.fut.aff,verb,1PL.EXCL>3PL.FUT.AFF
1.pl.excl.3.pl.fut.neg,verb,1PL.EXCL>3PL.FUT.NEG
1.pl.excl.3.pl.nfut.aff,verb,1PL.EXCL>3PL.NFUT.AFF
1.pl.excl.3.pl.nfut.neg,verb,1PL.EXCL>3PL.NFUT.NEG
1.pl.excl.3.sg.fut.aff,verb,1PL.EXCL>3SG.FUT.AFF
1.pl.excl.3.sg.fut.neg,verb,1PL.EXCL>3SG.FUT.NEG
1.pl.excl.3.sg.nfut.aff,verb,1PL.EXCL>3SG.NFUT.AFF
1.pl.excl.3.sg.nfut.neg,verb,1PL.EXCL>3SG.NFUT.NEG
1.pl.excl.fut.aff,verb,1PL.EXCL.FUT.AFF
1.pl.excl.fut.neg,verb,1PL.EXCL.FUT.NEG
1.pl.excl.nfut.aff,verb,1PL.EXCL.NFUT.AFF
1.pl.excl.nfut.neg,verb,1PL.EXCL.NFUT.NEG
1.pl.incl.3.pl.fut.aff,verb,1PL.INCL>3PL.FUT.AFF
1.pl.incl.3.pl.fut.neg,verb,1PL.INCL>3PL.FUT.NEG
1.pl.incl.3.pl.nfut.aff,verb,1PL.INCL>3PL.NFUT.AFF
1.pl.incl.3.pl.nfut.neg,verb,1PL.INCL>3PL.NFUT.NEG
1.pl.incl.3.sg.fut.aff,verb,1PL.INCL>3SG.FUT.AFF
1.pl.incl.3.sg.fut.neg,verb,1PL.INCL>3SG.FUT.NEG
1.pl.incl.3.sg.nfut.aff,verb,1PL.INCL>3SG.NFUT.AFF
1.pl.incl.3.sg.nfut.neg,verb,1PL.INCL>3SG.NFUT.NEG
1.pl.incl.fut.aff,verb,1PL.INCL.FUT.AFF
1.pl.incl.fut.neg,verb,1PL.INCL.FUT.NEG
1.pl.incl.nfut.aff,verb,1PL.INCL.NFUT.AFF
1.pl.incl.nfut.neg,verb,1PL.INCL.NFUT.NEG
1.sg.2.pl.fut.aff,verb,1SG>2PL.FUT.AFF
1.sg.2.pl.fut.neg,verb,1SG>2PL.FUT.NEG
1.sg.2.pl.nfut.aff,verb,1SG>2PL.NFUT.AFF
1.sg.2.pl.nfut.neg,verb,1SG>2PL.NFUT.NEG
1.sg.2.sg.fut.aff,verb,1SG>2SG.FUT.AFF
1.sg.2.sg.fut.neg,verb,1SG>2SG.FUT.NEG
1.sg.2.sg.nfut.aff,verb,1SG>2SG.NFUT.AFF
1.sg.2.sg.nfut.neg,verb,1SG>2SG.NFUT.NEG
1.sg.3.pl.fut.aff,verb,1SG>3PL.FUT.AFF
1.sg.3.pl.fut.neg,verb,1SG>3PL.FUT.NEG
1.sg.3.pl.nfut.aff,verb,1SG>3PL.NFUT.AFF
1.sg.3.pl.nfut.neg,verb,1SG>3PL.NFUT.NEG
1.sg.3.sg.fut.aff,verb,1SG>3SG.FUT.AFF
1.sg.3.sg.fut.neg,verb,1SG>3SG.FUT.NEG
1.sg.3.sg.nfut.aff,verb,1SG>3SG.NFUT.AFF
1.sg.3.sg.nfut.neg,verb,1SG>3SG.NFUT.NEG
1.sg.fut.aff,verb,1SG.FUT.AFF
1.sg.fut.neg,verb,1SG.FUT.NEG
1.sg.nfut.aff,verb,1SG.NFUT.AFF
1.sg.nfut.neg,verb,1SG.NFUT.NEG
2.pl.1.pl.excl.fut.aff,verb,2PL>1PL.EXCL.FUT.AFF
2.pl.1.pl.excl.fut.neg,verb,2PL>1PL.EXCL.FUT.NEG
2.pl.1.pl.excl.nfut.aff,verb,2PL>1PL.EXCL.NFUT.AFF
2.pl.1.pl.excl.nfut.neg,verb,2PL>1PL.EXCL.NFUT.NEG
2.pl.1.sg.fut.aff,verb,2PL>1SG.FUT.AFF
2.pl.1.sg.fut.neg,verb,2PL>1SG.FUT.NEG
2.pl.1.sg.nfut.aff,verb,2PL>1SG.NFUT.AFF
2.pl.1.sg.nfut.neg,verb,2PL>1SG.NFUT.NEG
2.pl.3.pl.fut.aff,verb,2PL>3PL.FUT.AFF
2.pl.3.pl.fut.neg,verb,2PL>3PL.FUT.NEG
2.pl.3.pl.nfut.aff,verb,2PL>3PL.NFUT.AFF
2.pl.3.pl.nfut.neg,verb,2PL>3PL.NFUT.NEG
2.pl.3.sg.fut.aff,verb,2PL>3SG.FUT.AFF
2.pl.3.sg.fut.neg,verb,2PL>3SG.FUT.NEG
2.pl.3.sg.nfut.aff,verb,2PL>3SG.NFUT.AFF
2.pl.3.sg.nfut.neg,verb,2PL>3SG.NFUT.NEG
2.pl.fut.aff,verb,2PL.FUT.AFF
2.pl.fut.neg,verb,2PL.FUT.NEG
2.pl.nfut.aff,verb,2PL.NFUT.AFF
2.pl.nfut.neg,verb,2PL.NFUT.NEG
2.sg.1.pl.excl.fut.aff,verb,2SG>1PL.EXCL.FUT.AFF
2.sg.1.pl.excl.fut.neg,verb,2SG>1PL.EXCL.FUT.NEG
2.sg.1.pl.excl.nfut.aff,verb,2SG>1PL.EXCL.NFUT.AFF
2.sg.1.pl.excl.nfut.neg,verb,2SG>1PL.EXCL.NFUT.NEG
2.sg.1.sg.fut.aff,verb,2SG>1SG.FUT.AFF
2.sg.1.sg.fut.neg,verb,2SG>1SG.FUT.NEG
2.sg.1.sg.nfut.aff,verb,2SG>1SG.NFUT.AFF
2.sg.1.sg.nfut.neg,verb,2SG>1SG.NFUT.NEG
2.sg.3.pl.fut.aff,verb,2SG>3PL.FUT.AFF
2.sg.3.pl.fut.neg,verb,2SG>3PL.FUT.NEG
2.sg.3.pl.nfut.aff,verb,2SG>3PL.NFUT.AFF
2.sg.3.pl.nfut.neg,verb,2SG>3PL.NFUT.NEG
2.sg.3.sg.fut.aff,verb,2SG>3SG.FUT.AFF
2.sg.3.sg.fut.neg,verb,2SG>3SG.FUT.NEG
2.sg.3.sg.nfut.aff,verb,2SG>3SG.NFUT.AFF
2.sg.3.sg.nfut.neg,verb,2SG>3SG.NFUT.NEG
2.sg.fut.aff,verb,2SG.FUT.AFF
2.sg.fut.neg,verb,2SG.FUT.NEG
2.sg.nfut.aff,verb,2SG.NFUT.AFF
2.sg.nfut.neg,verb,2SG.NFUT.NEG
3.pl.1.du.incl.fut.aff,verb,3PL>1DU.INCL.FUT.AFF
3.pl.1.du.incl.fut.neg,verb,3PL>1DU.INCL.FUT.NEG
3.pl.1.du.incl.nfut.aff,verb,3PL>1DU.INCL.NFUT.AFF
3.pl.1.du.incl.nfut.neg,verb,3PL>1DU.INCL.NFUT.NEG
3.pl.1.pl.excl.fut.aff,verb,3PL>1PL.EXCL.FUT.AFF
3.pl.1.pl.excl.fut.neg,verb,3PL>1PL.EXCL.FUT.NEG
3.pl.1.pl.excl.nfut.aff,verb,3PL>1PL.EXCL.NFUT.AFF
3.pl.1.pl.excl.nfut.neg,verb,3PL>1PL.EXCL.NFUT.NEG
3.pl.1.pl.incl.fut.aff,verb,3PL>1PL.INCL.FUT.AFF
3.pl.1.pl.incl.fut.neg,verb,3PL>1PL.INCL.FUT.NEG
3.pl.1.pl.incl.nfut.aff,verb,3PL>1PL.INCL.NFUT.AFF
3.pl.1.pl.incl.nfut.neg,verb,3PL>1PL.INCL.NFUT.NEG
3.pl.1.sg.fut.aff,verb,3PL>1SG.FUT.AFF
3.pl.1.sg.fut.neg,verb,3PL>1SG.FUT.NEG
3.pl.1.sg.nfut.aff,verb,3PL>1SG.NFUT.AFF
3.pl.1.sg.nfut.neg,verb,3PL>1SG.NFUT.NEG
3.pl.2.pl.fut.aff,verb,3PL>2PL.FUT.AFF
3.pl.2.pl.fut.neg,verb,3PL>2PL.FUT.NEG
3.pl.2.pl.nfut.aff,verb,3PL>2PL.NFUT.AFF
3.pl.2.pl.nfut.neg,verb,3PL>2PL.NFUT.NEG
3.pl.2.sg.fut.aff,verb,3PL>2SG.FUT.AFF
3.pl.2.sg.fut.neg,verb,3PL>2SG.FUT.NEG
3.pl.2.sg.nfut.aff,verb,3PL>2SG.NFUT.AFF
3.pl.2.sg.nfut.neg,verb,3PL>2SG.NFUT.NEG
3.pl.3.pl.fut.aff,verb,3PL>3PL.FUT.AFF
3.pl.3.pl.fut.neg,verb,3PL>3PL.FUT.NEG
3.pl.3.pl.nfut.aff,verb,3PL>3PL.NFUT.AFF
3.pl.3.pl.nfut.neg,verb,3PL>3PL.NFUT.NEG
3.pl.3.sg.fut.aff,verb,3PL>3SG.FUT.AFF
3.pl.3.sg.fut.neg,verb,3PL>3SG.FUT.NEG
3.pl.3.sg.nfut.aff,verb,3PL>3SG.NFUT.AFF
3.pl.3.sg.nfut.neg,verb,3PL>3SG.NFUT.NEG
3.pl.fut.aff,verb,3PL.FUT.AFF
3.pl.fut.neg,verb,3PL.FUT.NEG
3.pl.nfut.aff,verb,3PL.NFUT.AFF
3.pl.nfut.neg,verb,3PL.NFUT.NEG
