Left,Grapheme,Right,IPA
.,\+,$,+
^|.,\+,.,+
.,a,$,a
^|.,a,.,a
.,ch,$,ts
^|.,ch,.,ts
.,e,$,e
^|.,e,.,e
.,ng,$,ŋ
^|.,ng,.,ŋ
ē,i,.|$,j
.,i,$,i
^|.,i,.,i
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,o,$,o
^|.,o,.,o
.,r,$,r
^|.,r,.,r
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,u,$,u
^|.,u,.,u
.,ē,$,ee
^|.,ē,.,ee
.,-,$,+
^|.,-,.,+
.,Σ,$,Σ
^|.,Σ,.,Σ
