Left,Grapheme,Right,IPA
.,̪,$,
^|.,̪,.,
.,-,$,+
^|.,-,.,+
.,=,$,+
^|.,=,.,+
.,a,$,a
^|.,a,.,a
.,ɒ,$,ɒ
^|.,ɒ,.,ɒ
.,e,$,e
^|.,e,.,e
.,ei,$,ei
^|.,ei,.,ei
.,ə,$,ə
^|.,ə,.,ə
.,h,$,h
^|.,h,.,h
.,i,$,i
^|.,i,.,i
.,k,$,k
^|.,k,.,k
.,l,$,l
^|.,l,.,l
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,o,$,o
^|.,o,.,o
.,t,$,t
^|.,t,.,t
.,u,$,u
^|.,u,.,u
.,uh,$,uu
.,z,$,z
^|.,z,.,z
.,ʔ,$,ʔ
^|.,ʔ,.,ʔ
.,Σ,$,Σ
^|.,Σ,.,Σ
^,Σ,$,Σ
.,\+,$,+
^|.,\+,.,+
