Left,Grapheme,Right,IPA
.,-,$,-
^|.,-,.,-
.,\+,$,+
^|.,\+,.,+
.,a,$,a
^|.,a,.,a
.,c,$,ts
^|.,c,.,ts
.,d,$,d
^|.,d,.,d
.,e,$,e
^|.,e,.,e
.,ei,$,ei
^|.,ei,.,ei
.,f,$,f
^|.,f,.,f
.,h,$,h
^|.,h,.,h
.,i,$,i
^|.,i,.,i
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,m̥,$,m̥
^|.,m̥,.,m̥
.,n,$,n
^|.,n,.,n
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,Ø,$,
^|.,Ø,.,
.,ɔ,$,ɔ
^|.,ɔ,.,ɔ
.,t,$,t
^|.,t,.,t
.,u,$,u
^|.,u,.,u
.,uu,$,uu
^|.,uu,.,uu
.,ʔ,$,ʔ
^|.,ʔ,.,ʔ
.,Σ,$,Σ
^|.,Σ,.,Σ
