cell_id,POS,TA,POL,A_Person,A_Number,A_Clusivity,O_Person,O_Number,O_Clusivity,Label
1.du.excl.2.pl.fut.aff,verb,fut,aff,1,du,excl,2,pl,NA,1DU.EXCL>2PL.FUT.AFF
1.du.excl.2.pl.fut.neg,verb,fut,neg,1,du,excl,2,pl,NA,1DU.EXCL>2PL.FUT.NEG
1.du.excl.2.pl.nfut.aff,verb,nfut,aff,1,du,excl,2,pl,NA,1DU.EXCL>2PL.NFUT.AFF
1.du.excl.2.pl.nfut.neg,verb,nfut,neg,1,du,excl,2,pl,NA,1DU.EXCL>2PL.NFUT.NEG
1.du.excl.2.sg.fut.aff,verb,fut,aff,1,du,excl,2,sg,NA,1DU.EXCL>2SG.FUT.AFF
1.du.excl.2.sg.fut.neg,verb,fut,neg,1,du,excl,2,sg,NA,1DU.EXCL>2SG.FUT.NEG
1.du.excl.2.sg.nfut.aff,verb,nfut,aff,1,du,excl,2,sg,NA,1DU.EXCL>2SG.NFUT.AFF
1.du.excl.2.sg.nfut.neg,verb,nfut,neg,1,du,excl,2,sg,NA,1DU.EXCL>2SG.NFUT.NEG
1.du.excl.3.du.fut.aff,verb,fut,aff,1,du,excl,3,du,NA,1DU.EXCL>3DU.FUT.AFF
1.du.excl.3.du.fut.neg,verb,fut,neg,1,du,excl,3,du,NA,1DU.EXCL>3DU.FUT.NEG
1.du.excl.3.du.nfut.aff,verb,nfut,aff,1,du,excl,3,du,NA,1DU.EXCL>3DU.NFUT.AFF
1.du.excl.3.du.nfut.neg,verb,nfut,neg,1,du,excl,3,du,NA,1DU.EXCL>3DU.NFUT.NEG
1.du.excl.3.pl.fut.aff,verb,fut,aff,1,du,excl,3,pl,NA,1DU.EXCL>3PL.FUT.AFF
1.du.excl.3.pl.fut.neg,verb,fut,neg,1,du,excl,3,pl,NA,1DU.EXCL>3PL.FUT.NEG
1.du.excl.3.pl.nfut.aff,verb,nfut,aff,1,du,excl,3,pl,NA,1DU.EXCL>3PL.NFUT.AFF
1.du.excl.3.pl.nfut.neg,verb,nfut,neg,1,du,excl,3,pl,NA,1DU.EXCL>3PL.NFUT.NEG
1.du.excl.3.sg.fut.aff,verb,fut,aff,1,du,excl,3,sg,NA,1DU.EXCL>3SG.FUT.AFF
1.du.excl.3.sg.fut.neg,verb,fut,neg,1,du,excl,3,sg,NA,1DU.EXCL>3SG.FUT.NEG
1.du.excl.3.sg.nfut.aff,verb,nfut,aff,1,du,excl,3,sg,NA,1DU.EXCL>3SG.NFUT.AFF
1.du.excl.3.sg.nfut.neg,verb,nfut,neg,1,du,excl,3,sg,NA,1DU.EXCL>3SG.NFUT.NEG
1.du.excl.fut.aff,verb,fut,aff,1,du,excl,NA,NA,NA,1DU.EXCL.FUT.AFF
1.du.excl.fut.neg,verb,fut,neg,1,du,excl,NA,NA,NA,1DU.EXCL.FUT.NEG
1.du.excl.nfut.aff,verb,nfut,aff,1,du,excl,NA,NA,NA,1DU.EXCL.NFUT.AFF
